Player Name,Number_Identifier,games_played,goals,assists,points,Points.Per.Game,Hall.Of.Famer,X100..Games..Player.,X500..Games..Player.,X1000..Games..Player.,X500..Points,X1000..Points,Top15Pick,Cluster 
Lance Nethery,9761,41,11,14,25,0.609756098,0,0,0,0,0,0,0,1
Claude St. Sauveur,10548,79,24,24,48,0.607594937,0,0,0,0,0,0,0,1
Alain Lemieux,9218,119,28,44,72,0.605042017,0,1,0,0,0,0,0,1
Carter Verhaeghe,1826,173,51,53,104,0.601156069,0,1,0,0,0,0,0,1
Timo Jutila,8772,10,1,5,6,0.6,0,0,0,0,0,0,0,1
Angelo Moretto,10490,5,1,2,3,0.6,0,0,0,0,0,0,0,1
Konstantin Shafranov,5676,5,2,1,3,0.6,0,0,0,0,0,0,0,1
Bob Sullivan,9747,62,18,19,37,0.596774194,0,0,0,0,0,0,0,1
Jason Lafreniere,8059,146,34,53,87,0.595890411,0,1,0,0,0,0,0,1
Claude Vilgrain,8809,89,21,32,53,0.595505618,0,0,0,0,0,0,0,1
Harold Phillipoff,9817,141,26,57,83,0.588652482,0,1,0,0,0,0,1,1
Seth Jarvis,419,68,17,23,40,0.588235294,0,0,0,0,0,0,1,1
Yegor Sharangovich,929,130,40,36,76,0.584615385,0,1,0,0,0,0,0,1
Jan Caloun,6472,24,8,6,14,0.583333333,0,0,0,0,0,0,0,1
Michel Briere,10867,76,12,32,44,0.578947368,0,0,0,0,0,0,0,1
Ilja Byakin,6384,57,8,25,33,0.578947368,0,0,0,0,0,0,0,1
Daniel Tkaczuk,5248,19,4,7,11,0.578947368,0,0,0,0,0,0,1,1
Len Hachborn,9104,102,20,39,59,0.578431373,0,1,0,0,0,0,0,1
Warren Holmes,9722,45,8,18,26,0.577777778,0,0,0,0,0,0,0,1
Dave Michayluk,9001,14,2,6,8,0.571428571,0,0,0,0,0,0,0,1
Fabian Zetterlund,1047,14,3,5,8,0.571428571,0,0,0,0,0,0,0,1
Roman Oksiuta,7293,153,46,41,87,0.568627451,0,1,0,0,0,0,0,1
Don Tannahill,10846,111,30,33,63,0.567567568,0,1,0,0,0,0,1,1
Dave Debol,9868,92,26,26,52,0.565217391,0,0,0,0,0,0,0,1
Noah Cates,1109,16,5,4,9,0.5625,0,0,0,0,0,0,0,1
Normand Leveille,8954,75,17,25,42,0.56,0,0,0,0,0,0,1,1
Joe Contini,9756,68,17,21,38,0.558823529,0,0,0,0,0,0,0,1
